,temp,br,br_err,pb,pb_err
0,10,0.0,0.0,0.0,0.0
1,70,2.23190146952e-05,2.11779484388e-05,2.20565124067e-05,2.11779484388e-05
2,110,0.000152019586078,1.97698113141e-05,0.000157968000439,1.97698113141e-05
3,145,0.000316724484396,4.58527517691e-05,0.000326424665868,4.58527517691e-05
4,160,0.000415385162353,8.99791442809e-05,0.00043456803537,8.99791442809e-05
5,185,0.000544328821676,9.37062088088e-05,0.000560383671904,9.37062088088e-05
6,200,0.000632750693653,0.000151909213759,0.000669348543809,0.000151909213759
7,232,0.000852593751175,0.000237160310436,0.000902898573699,0.000237160310436
8,243,0.000847447772194,0.000212563475814,0.000887083983993,0.000212563475814
9,275,0.000973611101705,0.000332752726682,0.00103430225143,0.000332752726682
10,300,0.00120137168137,0.000290513841196,0.00124640781945,0.000290513841196
