	temp	br	br_err
0	10	0.0	0.0
1	70	3.39482710696e-05	1.5645079714e-05
2	110	0.000172079424347	2.1975089621e-05
3	145	0.000377883189687	6.342236993e-05
4	160	0.000462623675585	0.000105657811996
5	185	0.000589471643089	0.000109068657983
6	200	0.000670342082263	0.000163521227999
7	232	0.000885553263806	0.000247420056559
8	243	0.000877636279664	0.000223226095972
9	275	0.00104096708255	0.000355883252565
10	300	0.00122702656942	0.000298579163659
