	Unnamed: 0	temp	br	br_err	pb	pb_err
0	0	10	0.0	0.0	0.0	0.0
1	1	70	2.23190146952e-05	2.11779484388e-05	2.20565124067e-05	2.11779484388e-05
2	2	110	0.00015201958607799997	1.97698113141e-05	0.000157968000439	1.97698113141e-05
3	3	145	0.000316724484396	4.58527517691e-05	0.00032642466586799997	4.58527517691e-05
4	4	160	0.00041538516235300007	8.99791442809e-05	0.00043456803537	8.99791442809e-05
5	5	185	0.000544328821676	9.37062088088e-05	0.0005603836719040001	9.37062088088e-05
6	6	200	0.000632750693653	0.000151909213759	0.000669348543809	0.000151909213759
7	7	232	0.0008525937511749999	0.000237160310436	0.0009028985736989998	0.000237160310436
8	8	243	0.0008474477721939998	0.00021256347581400002	0.000887083983993	0.00021256347581400002
9	9	275	0.000973611101705	0.000332752726682	0.0010343022514299998	0.000332752726682
10	10	300	0.0012013716813699998	0.000290513841196	0.0012464078194500002	0.000290513841196
