  10.  0.0515000001 -1.
  70.  0.0502999984 -1.
  110.  0.0560000017 -1.
  145.  0.0644999966 -1.
  160.  0.0705000013 -1.
  185.  0.0785999969 -1.
  200.  0.0815000013 -1.
  232.  0.0918999985 -1.
  243.  0.0913000032 -1.
  275.  0.0930999964 -1.
  300.  0.102600001 -1.
