####   #########     ######
  10.  0.0112666665  0.00509860553
  70.  0.02465  0.00231037522
  110.  0.0443833321  0.00302185561
  145.  0.059716668  0.00109191472
  160.  0.0654166639  0.00080804975
  185.  0.0752833337  0.00123973563
  200.  0.0769166648  0.00102092
  232.  0.0885833353  0.000644679123
  243.  0.0877833366  0.000791798229
  275.  0.0934333354  0.00171846175
  300.  0.10316667  0.00184222078
